Feature,Percentage
NtProtectVirtualMemory,7.86%
NtAllocateVirtualMemory,6.81%
NtFreeVirtualMemory,2.93%
LdrLoadDll,6.61%
LdrGetProcedureAddress,4.80%
Module32FirstW,4.68%
CreateToolhelp32Snapshot,3.46%
LdrGetDllHandle,2.71%
NtQueryValueKey,0.90%
CreateProcessInternalW,4.40%
NtDelayExecution,3.07%
NtClose,3.84%
WSAStartup,2.08%
GetSystemTimeAsFileTime,3.25%
NtTerminateProcess,1.80%
SetErrorMode,1.19%
__exception__,1.84%
NtOpenKey,1.93%
SetUnhandledExceptionFilter,1.22%
closesocket,2.92%
LdrUnloadDll,1.33%
FindResourceExA,1.55%
FindFirstFileExW,0.75%
GetSystemMetrics,0.52%
CoCreateInstance,1.93%
NtDeviceIoControlFile,1.32%
LoadStringW,1.96%
RegOpenKeyExW,1.31%
GetSystemInfo,1.04%
NtGetContextThread,0.92%
RegEnumValueW,0.99%
RegCloseKey,0.75%
GlobalMemoryStatusEx,1.58%
setsockopt,0.86%
GetFileAttributesW,1.10%
NtMapViewOfSection,1.34%
NtSetContextThread,0.95%
CoUninitialize,0.87%
CreateDirectoryW,0.92%
NtCreateFile,0.94%
GetTempPathW,0.74%
LookupPrivilegeValueW,1.02%
CreateThread,0.70%
NtOpenKeyEx,0.94%
GetFileType,0.82%
NtCreateMutant,1.29%
NtResumeThread,0.94%
NtDuplicateObject,1.52%
IsDebuggerPresent,0.33%
socket,0.40%
