Feature,Percentage
CreateProcessInternalW,6.90%
ReadProcessMemory,5.75%
NtGetContextThread,6.19%
LdrLoadDll,5.89%
GetSystemTimeAsFileTime,3.37%
LdrUnloadDll,6.82%
GetFileAttributesW,1.82%
NtAllocateVirtualMemory,2.57%
LdrGetProcedureAddress,2.46%
NtQueryValueKey,3.78%
NtWriteVirtualMemory,2.26%
GetAdaptersAddresses,2.47%
NtProtectVirtualMemory,4.11%
NtReadFile,2.68%
GetNativeSystemInfo,0.82%
NtFreeVirtualMemory,1.29%
NtQuerySystemInformation,1.48%
NtClose,1.48%
CryptHashData,1.44%
GlobalMemoryStatusEx,3.59%
NtResumeThread,2.01%
NtOpenKey,1.28%
GetAddrInfoW,1.74%
NtOpenKeyEx,1.22%
WriteProcessMemory,1.36%
GetSystemDirectoryW,1.47%
NtDelayExecution,1.40%
GlobalMemoryStatus,1.54%
GetTimeZoneInformation,1.80%
GetSystemMetrics,0.80%
NtCreateKey,1.01%
GetShortPathNameW,1.18%
NtWriteFile,1.67%
NtUnmapViewOfSection,1.09%
NtCreateFile,1.09%
RegQueryInfoKeyW,0.57%
RegEnumValueW,0.53%
GetFileAttributesExW,1.31%
SetFileTime,1.58%
IsDebuggerPresent,0.67%
closesocket,0.83%
GetFileVersionInfoW,0.73%
CreateThread,0.48%
WSASocketW,0.62%
NtSetContextThread,0.06%
NtTerminateProcess,0.20%
NtMapViewOfSection,1.16%
GetSystemInfo,1.10%
CoCreateInstanceEx,0.93%
GetFileInformationByHandle,1.43%
