Feature,Percentage
NtProtectVirtualMemory,8.63%
RegEnumValueW,1.75%
GlobalMemoryStatusEx,0.89%
CreateToolhelp32Snapshot,7.85%
NtQueryInformationFile,1.19%
NtReadFile,1.92%
socket,1.08%
NtDuplicateObject,1.21%
WSAStartup,3.33%
NtDelayExecution,2.37%
closesocket,3.30%
NtOpenThread,0.35%
NtAllocateVirtualMemory,9.00%
CreateProcessInternalW,5.17%
FindResourceExW,0.55%
GetSystemDirectoryW,0.96%
CertControlStore,0.96%
NtCreateKey,0.65%
UuidCreate,0.22%
Module32FirstW,5.03%
GetVolumePathNamesForVolumeNameW,1.11%
LoadStringW,2.20%
SetUnhandledExceptionFilter,2.71%
GetFileSizeEx,0.48%
NtSetInformationFile,0.88%
LdrLoadDll,7.23%
GetFileInformationByHandle,0.59%
NtQueryAttributesFile,0.48%
NtOpenProcess,1.29%
CoCreateInstance,2.06%
CreateDirectoryW,0.91%
NtGetContextThread,1.10%
RtlAddVectoredExceptionHandler,1.01%
RtlAddVectoredContinueHandler,0.47%
NtOpenSection,0.88%
NtCreateSection,1.45%
NtOpenKey,4.64%
__exception__,2.05%
RegQueryInfoKeyW,0.35%
NtDeviceIoControlFile,2.07%
NtQueryDirectoryFile,1.12%
IsDebuggerPresent,0.50%
connect,0.29%
WriteConsoleA,0.25%
NtEnumerateKey,0.80%
NtEnumerateValueKey,1.05%
NtResumeThread,1.12%
GetFileAttributesW,1.94%
LookupPrivilegeValueW,1.91%
ReadProcessMemory,0.62%
